Date,Close/Last,Volume,Open,High,Low
07/21/2020,$156.9145,122699300,$161.6245,$162.0288,$155.286
07/20/2020,$159.842,151963520,$150.01,$160.068,$149.7009
07/17/2020,$148.0985,95226380,$150.45,$151.20,$147.4225
07/16/2020,$149.995,127884920,$148.553,$151.60,$145.9115
07/15/2020,$150.4435,115777480,$154.0115,$154.9175,$148.659
07/14/2020,$154.20,144638660,$154.45,$156.369,$147.50
07/13/2020,$155.20,154408400,$162.553,$167.2145,$153.4195
07/10/2020,$160.00,109719640,$159.588,$160.75,$156.785
07/09/2020,$159.1315,127773180,$155.7995,$159.694,$153.7001
07/08/2020,$154.0555,100752700,$151.1305,$154.1985,$150.6215
07/07/2020,$150.006,105150280,$152.9275,$153.4775,$149.50
07/06/2020,$152.852,137612840,$146.7485,$152.994,$146.50
07/02/2020,$144.515,131867740,$145.6005,$147.778,$143.5551
07/01/2020,$143.935,127268780,$137.8995,$144.75,$137.70
06/30/2020,$137.941,75393720,$134.2533,$138.4815,$133.7515
06/29/2020,$134.019,84468440,$134.5005,$134.84,$131.504
06/26/2020,$134.6435,130015680,$138.7528,$139.1284,$134.40
06/25/2020,$137.729,59373140,$136.9775,$137.8115,$135.607
06/24/2020,$136.72,90532100,$139.00,$139.80,$136.05
06/23/2020,$138.2205,84634140,$136.301,$139.1555,$135.902
06/22/2020,$135.691,64175600,$134.225,$135.75,$133.45
06/19/2020,$133.7505,115539260,$133.904,$134.8715,$132.95
06/18/2020,$132.699,49755480,$132.3505,$132.982,$131.8055
06/17/2020,$132.049,59186320,$132.375,$132.75,$131.591
06/16/2020,$130.7635,71912980,$131.00,$131.00,$128.80
06/15/2020,$128.634,77466700,$126.33,$129.20,$125.40
06/12/2020,$127.251,108722540,$130.0605,$131.0738,$125.1675
06/11/2020,$127.898,116002140,$130.175,$133.569,$126.8115
06/10/2020,$132.3725,98920620,$132.25,$136.1175,$131.313
06/09/2020,$130.043,103519000,$126.472,$131.3215,$126.25
06/08/2020,$126.203,79413080,$125.01,$126.50,$124.3668
06/05/2020,$124.15,66128900,$122.2255,$124.4323,$121.8565
06/04/2020,$123.03,58974200,$123.8715,$125.377,$122.5005
06/03/2020,$123.92,53420480,$123.4005,$124.40,$123.0585
06/02/2020,$123.6205,50598060,$123.35,$123.6765,$122.2655
06/01/2020,$123.552,58760640,$122.40,$123.8465,$122.2085
05/29/2020,$122.1185,70586580,$120.797,$122.1185,$119.9099
05/28/2020,$120.055,63862720,$119.2165,$121.8485,$118.9115
05/27/2020,$120.5195,101138900,$120.2495,$120.679,$116.50
05/26/2020,$121.093,71363060,$122.90,$123.10,$120.703
05/22/2020,$121.844,57341580,$122.7505,$123.4925,$121.5065
05/21/2020,$122.337,102288060,$125.00,$126.2725,$122.127
05/20/2020,$124.897,79962860,$123.8935,$125.0005,$123.3635
05/19/2020,$122.4665,86409960,$121.4915,$124.2498,$121.4485
05/18/2020,$121.313,87331440,$120.2173,$121.65,$119.2005
05/15/2020,$120.489,84699020,$118.426,$120.55,$117.8185
05/14/2020,$119.4425,72962560,$118.0505,$119.5685,$117.6605
